date,sample_de,pfba,pf_pe_a,pf_hx_a,pf_hp_a,pfoa,pfna,pfda,pf_un_da,pf_do_da,pf_tr_da,pf_te_da,pfbs,pf_pe_s,pf_hx_s,pf_hp_s,pfos,pfns,pfds,x4_2_fts,x6_2_fts,x8_2_fts,pfosa,n_me_fosaa,n_et_fosaa,hfpo_da2_gen_x_frd_903,adona,x9cl_pf3ons,x11cl_pf3o_ud_s,n_me_fosa,n_et_fosa,n_me_fose,n_et_fose
2022-09-15T08:00:00Z,Isar,5.59,5.87,7.61,2.17,3.14,1.04,1e-4,1e-4,1e-4,1e-4,1e-4,2.74,1e-4,1.62,1e-4,7.34,1e-4,1e-4,1e-4,0.4,1e-4,1e-4,1e-4,0.47,1e-4,0.23,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-09-21T00:00:00Z,Donau Budapest Nord,3.17,4.17,2.26,1.33,1.99,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.66,1e-4,1.91,1e-4,1e-4,1e-4,0.45,1e-4,1e-4,1e-4,1e-4,1.3,6.45,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-09-20T00:00:00Z,Donau Budapest Süd,3.25,4.48,2.85,1.05,2.42,0.56,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.04,1e-4,4.35,1e-4,1e-4,1e-4,0.41,1e-4,0.17,1e-4,1e-4,1.46,11.34,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-03T11:30:00Z,Traun,1.55,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.33,1e-4,1e-4,1e-4,0.37,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.18,1e-4,NA,NA,NA,NA,NA
2022-10-11T09:00:00Z,Isar,3.34,3.1,4.33,1.02,1.47,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.15,1e-4,0.86,1e-4,3.69,1e-4,1e-4,1e-4,0.59,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-13T07:49:00Z,Morava,4.26,5.59,6.53,2.89,1.18,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,2.02,1e-4,1.82,1e-4,5.11,1e-4,1e-4,1e-4,2.97,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-13T09:00:00Z,Svratka,1e-4,6.71,7.08,2.55,1.38,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,2.3,1e-4,0.24,1e-4,1.27,1e-4,1e-4,1e-4,4.33,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-13T11:04:00Z,Thaya,7.14,3.64,4.14,3,1.67,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.4,1e-4,0.26,1e-4,1.42,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-17T11:50:00Z,Inn,1.2,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.41,1e-4,0.16,1e-4,0.77,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-17T11:50:00Z,Alz,51.5,232,38.15,28,219.5,10.8,1.92,1e-4,1e-4,1e-4,1e-4,2.05,1e-4,0.25,1e-4,1.22,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,43.8,1648,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
